dataset,rep,M,S,MS,K_star,rf_acc,rf_rmin,rf_rmaj,Kstar_acc,Kstar_rmin,Kstar_rmaj,K0_acc,K0_rmin,K0_rmaj,K10_acc,K10_rmin,K10_rmaj,K20_acc,K20_rmin,K20_rmaj,K30_acc,K30_rmin,K30_rmaj
hepatitis,0,0.120690,0.121423,0.014654,0,0.920000,0.600000,1.000000,0.920000,0.600000,1.000000,0.920000,0.600000,1.000000,0.920000,0.600000,1.000000,0.920000,0.600000,1.000000,0.920000,0.600000,1.000000
hepatitis,1,0.068966,0.111990,0.007723,0,0.920000,0.800000,0.950000,0.920000,0.800000,0.950000,0.920000,0.800000,0.950000,0.920000,0.800000,0.950000,0.920000,0.800000,0.950000,0.920000,0.800000,0.950000
hepatitis,2,0.103448,0.181430,0.018769,0,0.920000,0.800000,0.950000,0.920000,0.800000,0.950000,0.920000,0.800000,0.950000,0.920000,0.800000,0.950000,0.960000,1.000000,0.950000,0.960000,1.000000,0.950000
hepatitis,3,0.120690,0.172512,0.020820,30,0.880000,0.600000,0.950000,0.840000,0.600000,0.900000,0.840000,0.600000,0.900000,0.840000,0.600000,0.900000,0.840000,0.600000,0.900000,0.840000,0.600000,0.900000
hepatitis,4,0.103448,0.207535,0.021469,0,0.800000,0.400000,0.900000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000
hepatitis,5,0.120690,0.069941,0.008441,0,0.920000,0.600000,1.000000,0.960000,0.800000,1.000000,0.960000,0.800000,1.000000,0.960000,0.800000,1.000000,0.960000,0.800000,1.000000,0.960000,0.800000,1.000000
hepatitis,6,0.155172,0.101231,0.015708,0,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000
hepatitis,7,0.120690,0.069828,0.008428,0,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000
hepatitis,8,0.120690,0.179303,0.021640,0,0.840000,0.200000,1.000000,0.840000,0.200000,1.000000,0.840000,0.200000,1.000000,0.840000,0.200000,1.000000,0.840000,0.200000,1.000000,0.840000,0.200000,1.000000
hepatitis,9,0.120690,0.059062,0.007128,0,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000,0.880000,0.400000,1.000000
hepatitis,10,0.103448,0.192286,0.019892,0,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000,0.840000,0.400000,0.950000
