dataset,rep,M,S,MS,rf_acc,rf_rmin,rf_rmaj,K0_alpha,K0_acc,K0_rmin,K0_rmaj,K10_alpha,K10_acc,K10_rmin,K10_rmaj,K20_alpha,K20_acc,K20_rmin,K20_rmaj,K30_alpha,K30_acc,K30_rmin,K30_rmaj
hepatitis,0,0.120690,0.121423,0.014654,0.920000,0.600000,1.000000,1.000000,0.920000,0.600000,1.000000,1.146545,0.920000,0.600000,1.000000,1.293089,0.920000,0.600000,1.000000,1.439634,0.920000,0.600000,1.000000
hepatitis,1,0.068966,0.111990,0.007723,0.920000,0.800000,0.950000,1.000000,0.920000,0.800000,0.950000,1.077235,0.920000,0.800000,0.950000,1.154470,0.920000,0.800000,0.950000,1.231704,0.920000,0.800000,0.950000
hepatitis,2,0.103448,0.181430,0.018769,0.920000,0.800000,0.950000,1.000000,0.920000,0.800000,0.950000,1.187686,0.920000,0.800000,0.950000,1.375373,0.960000,1.000000,0.950000,1.563059,0.960000,1.000000,0.950000
hepatitis,3,0.120690,0.172512,0.020820,0.880000,0.600000,0.950000,1.000000,0.840000,0.600000,0.900000,1.208204,0.840000,0.600000,0.900000,1.416408,0.840000,0.600000,0.900000,1.624612,0.840000,0.600000,0.900000
hepatitis,4,0.103448,0.207535,0.021469,0.800000,0.400000,0.900000,1.000000,0.840000,0.400000,0.950000,1.214692,0.840000,0.400000,0.950000,1.429383,0.840000,0.400000,0.950000,1.644075,0.840000,0.400000,0.950000
hepatitis,5,0.120690,0.069941,0.008441,0.920000,0.600000,1.000000,1.000000,0.960000,0.800000,1.000000,1.084412,0.960000,0.800000,1.000000,1.168824,0.960000,0.800000,1.000000,1.253236,0.960000,0.800000,1.000000
hepatitis,6,0.155172,0.101231,0.015708,0.840000,0.400000,0.950000,1.000000,0.840000,0.400000,0.950000,1.157083,0.840000,0.400000,0.950000,1.314167,0.840000,0.400000,0.950000,1.471250,0.840000,0.400000,0.950000
hepatitis,7,0.120690,0.069828,0.008428,0.880000,0.400000,1.000000,1.000000,0.880000,0.400000,1.000000,1.084276,0.880000,0.400000,1.000000,1.168552,0.880000,0.400000,1.000000,1.252827,0.880000,0.400000,1.000000
hepatitis,8,0.120690,0.179303,0.021640,0.840000,0.200000,1.000000,1.000000,0.840000,0.200000,1.000000,1.216400,0.840000,0.200000,1.000000,1.432800,0.840000,0.200000,1.000000,1.649199,0.840000,0.200000,1.000000
hepatitis,9,0.120690,0.059062,0.007128,0.880000,0.400000,1.000000,1.000000,0.880000,0.400000,1.000000,1.071281,0.880000,0.400000,1.000000,1.142563,0.880000,0.400000,1.000000,1.213844,0.880000,0.400000,1.000000
