dataset,n,RF_acc,RF_rmin,RF_rmaj,CPFW_acc,CPFW_rmin,CPFW_rmaj,WRF_acc,WRF_rmin,WRF_rmaj,KNE_acc,KNE_rmin,KNE_rmaj,KNU_acc,KNU_rmin,KNU_rmaj,d_CPFW_acc,d_CPFW_rmin,d_CPFW_rmaj,d_WRF_acc,d_WRF_rmin,d_WRF_rmaj,d_KNE_acc,d_KNE_rmin,d_KNE_rmaj,d_KNU_acc,d_KNU_rmin,d_KNU_rmaj
hepatitis,83,0.8787,0.4933,0.9750,0.8813,0.5000,0.9767,0.8520,0.5133,0.9367,0.8787,0.5867,0.9517,0.8827,0.5200,0.9733,+0.0027,+0.0067,+0.0017,-0.0267,+0.0200,-0.0383,-0.0000,+0.0933,-0.0233,+0.0040,+0.0267,-0.0017
wine,130,0.9863,0.9907,0.9825,0.9863,0.9907,0.9825,0.9701,0.9796,0.9619,0.9838,0.9870,0.9810,0.9863,0.9907,0.9825,+0.0000,+0.0000,+0.0000,-0.0162,-0.0111,-0.0206,-0.0026,-0.0037,-0.0016,+0.0000,+0.0000,+0.0000
heart-disease,214,0.7933,0.3167,0.9490,0.7969,0.3312,0.9490,0.7944,0.3229,0.9483,0.7877,0.3396,0.9340,0.7949,0.3250,0.9483,+0.0036,+0.0146,-0.0000,+0.0010,+0.0063,-0.0007,-0.0056,+0.0229,-0.0150,+0.0015,+0.0083,-0.0007
parkinsons,195,0.9034,0.7022,0.9720,0.9073,0.7156,0.9727,0.9079,0.7222,0.9712,0.9102,0.7267,0.9727,0.9045,0.7044,0.9727,+0.0040,+0.0133,+0.0008,+0.0045,+0.0200,-0.0008,+0.0068,+0.0244,+0.0008,+0.0011,+0.0022,+0.0008
sonar,208,0.8122,0.7264,0.8853,0.8148,0.7287,0.8882,0.8122,0.7276,0.8843,0.8497,0.7644,0.9225,0.8228,0.7402,0.8931,+0.0026,+0.0023,+0.0029,+0.0000,+0.0011,-0.0010,+0.0376,+0.0379,+0.0373,+0.0106,+0.0138,+0.0078
heart-statlog,270,0.8296,0.7602,0.8852,0.8313,0.7602,0.8881,0.8309,0.7620,0.8859,0.8210,0.7519,0.8763,0.8300,0.7620,0.8844,+0.0016,-0.0000,+0.0030,+0.0012,+0.0019,+0.0007,-0.0086,-0.0083,-0.0089,+0.0004,+0.0019,-0.0007
haberman,306,0.7033,0.2819,0.8520,0.7040,0.2889,0.8505,0.7004,0.2819,0.8480,0.6717,0.2917,0.8059,0.7000,0.2833,0.8471,+0.0007,+0.0069,-0.0015,-0.0029,+0.0000,-0.0039,-0.0315,+0.0097,-0.0461,-0.0033,+0.0014,-0.0049
spect,267,0.8263,0.4843,0.9172,0.8259,0.4843,0.9167,0.8276,0.4784,0.9203,0.8099,0.4922,0.8943,0.8206,0.5275,0.8984,-0.0004,+0.0000,-0.0005,+0.0012,-0.0059,+0.0031,-0.0165,+0.0078,-0.0229,-0.0058,+0.0431,-0.0188
ionosphere,351,0.9333,0.8781,0.9642,0.9321,0.8772,0.9627,0.9349,0.8781,0.9667,0.9368,0.8763,0.9706,0.9343,0.8781,0.9657,-0.0013,-0.0009,-0.0015,+0.0016,+0.0000,+0.0025,+0.0035,-0.0018,+0.0064,+0.0009,+0.0000,+0.0015
australian,690,0.8717,0.8652,0.8768,0.8718,0.8678,0.8751,0.8721,0.8707,0.8733,0.8704,0.8645,0.8751,0.8721,0.8667,0.8765,+0.0002,+0.0025,-0.0017,+0.0005,+0.0054,-0.0035,-0.0013,-0.0007,-0.0017,+0.0005,+0.0014,-0.0003
breast-w,683,0.9712,0.9657,0.9742,0.9715,0.9671,0.9739,0.9711,0.9648,0.9744,0.9698,0.9625,0.9737,0.9711,0.9653,0.9742,+0.0003,+0.0014,-0.0003,-0.0002,-0.0009,+0.0003,-0.0015,-0.0032,-0.0005,-0.0002,-0.0005,+0.0000
transfusion,748,0.7447,0.3222,0.8782,0.7573,0.3475,0.8867,0.7439,0.3228,0.8768,0.7120,0.3370,0.8304,0.7459,0.3043,0.8854,+0.0126,+0.0253,+0.0086,-0.0009,+0.0006,-0.0014,-0.0327,+0.0148,-0.0478,+0.0012,-0.0179,+0.0072
diabetes,768,0.7599,0.5790,0.8576,0.7612,0.5835,0.8571,0.7593,0.5807,0.8558,0.7545,0.5823,0.8476,0.7583,0.5802,0.8544,+0.0013,+0.0045,-0.0004,-0.0006,+0.0016,-0.0018,-0.0053,+0.0033,-0.0100,-0.0016,+0.0012,-0.0031
wdbc,569,0.9573,0.9344,0.9710,0.9596,0.9375,0.9729,0.9577,0.9333,0.9723,0.9591,0.9370,0.9723,0.9575,0.9344,0.9713,+0.0023,+0.0031,+0.0019,+0.0004,-0.0010,+0.0012,+0.0018,+0.0026,+0.0012,+0.0002,+0.0000,+0.0003
banknote,1372,0.9921,0.9931,0.9913,0.9942,0.9953,0.9933,0.9917,0.9923,0.9913,0.9947,0.9969,0.9930,0.9926,0.9936,0.9917,+0.0021,+0.0022,+0.0020,-0.0003,-0.0007,+0.0000,+0.0027,+0.0038,+0.0017,+0.0005,+0.0005,+0.0004
german-credit,1000,0.7539,0.3737,0.9168,0.7540,0.3726,0.9175,0.7542,0.3730,0.9176,0.7521,0.3922,0.9063,0.7541,0.3756,0.9163,+0.0001,-0.0011,+0.0006,+0.0003,-0.0007,+0.0008,-0.0018,+0.0185,-0.0105,+0.0002,+0.0019,-0.0005
tic-tac-toe,958,0.9380,0.8270,0.9970,0.9475,0.8500,0.9993,0.9395,0.8287,0.9984,0.9465,0.8567,0.9943,0.9385,0.8287,0.9970,+0.0095,+0.0230,+0.0023,+0.0015,+0.0017,+0.0014,+0.0086,+0.0297,-0.0027,+0.0006,+0.0017,+0.0000
spambase,4601,0.9537,0.9270,0.9710,0.9548,0.9293,0.9713,0.9539,0.9278,0.9708,0.9532,0.9278,0.9697,0.9538,0.9275,0.9709,+0.0011,+0.0023,+0.0003,+0.0002,+0.0008,-0.0002,-0.0005,+0.0007,-0.0013,+0.0001,+0.0004,-0.0002
