dataset,maj_spread,maj_n_patterns,min_spread,min_n_patterns,avg_spread,d_acc
hepatitis,0.0603,3,0.1038,4,0.0820,+0.0026
wine,0.1021,6,0.3484,5,0.2252,+0.0000
heart-disease,0.0476,3,0.0694,4,0.0585,+0.0036
parkinsons,0.1561,3,0.2196,4,0.1878,+0.0039
sonar,0.0444,6,0.0382,6,0.0413,+0.0026
heart-statlog,0.1276,6,0.1467,6,0.1372,+0.0017
haberman,0.1470,3,0.1741,4,0.1606,+0.0007
spect,0.0670,3,0.0678,4,0.0674,-0.0004
ionosphere,0.0172,3,0.0292,4,0.0232,-0.0012
australian,0.1978,6,0.0644,6,0.1311,+0.0001
breast-w,0.0989,3,0.0912,4,0.0951,+0.0003
transfusion,0.2266,3,0.2833,4,0.2549,+0.0126
diabetes,0.0510,3,0.0575,4,0.0543,+0.0013
wdbc,0.1235,3,0.2012,4,0.1624,+0.0023
banknote,0.6644,3,0.6377,4,0.6510,+0.0021
german-credit,0.0267,3,0.0138,4,0.0203,+0.0001
tic-tac-toe,0.1330,3,0.4155,4,0.2743,+0.0095
spambase,0.0857,3,0.1390,4,0.1124,+0.0011
eeg-eye-state,0.1686,3,0.2615,4,0.2150,+0.0122
magic-gamma,0.0436,3,0.0547,4,0.0491,+0.0005
yeast-me2,0.0739,3,0.1151,4,0.0945,+0.0002
oil,0.0560,3,0.0894,4,0.0727,+0.0000
phoneme,0.0972,3,0.1334,4,0.1153,+0.0006
kr-vs-kp,0.4295,6,0.3510,6,0.3902,+0.0004
jm1,0.0868,3,0.1150,4,0.1009,+0.0008
electricity,0.0265,3,0.0564,4,0.0415,+0.0002
adult,0.0801,3,0.1343,4,0.1072,+0.0009
musk,0.2812,3,0.6248,4,0.4530,+0.0001
nomao,0.0876,3,0.0773,4,0.0824,+0.0006
bank-marketing,0.0240,3,0.0339,4,0.0290,-0.0001
breast-cancer-uci,0.0816,3,0.1763,4,0.1289,+0.0027
mammographic-mass,0.6241,6,0.6119,6,0.6180,+0.0273
wine-quality-red,0.0956,6,0.1113,6,0.1035,+0.0000
wine-quality-white,0.0416,3,0.0573,4,0.0495,+0.0003
thoracic-surgery,0.0294,3,0.0742,4,0.0518,-0.0003
default-credit-card,0.1450,3,0.2153,4,0.1802,+0.0033
