dataset,region,class,best_pattern,best_acc,n_valid_patterns
hepatitis,"[.5,.6)",maj,noflip,0.3787,3
hepatitis,"[.5,.6)",min,other,0.3585,4
hepatitis,"[.6,.7)",maj,noflip,1.0000,3
hepatitis,"[.6,.7)",min,early_sw,1.0000,4
hepatitis,"[.7,.8)",maj,noflip,1.0000,2
hepatitis,"[.7,.8)",min,early_sw,1.0000,2
hepatitis,"[.8,.9)",maj,noflip,0.8515,2
hepatitis,"[.8,.9)",min,early_sw,1.0000,3
hepatitis,"[.9,1.]",maj,noflip,1.0000,3
hepatitis,"[.9,1.]",min,,,0
wine,"[.5,.6)",maj,late_sw,0.1940,6
wine,"[.5,.6)",min,noflip,0.3283,5
wine,"[.6,.7)",maj,noflip,1.0000,4
wine,"[.6,.7)",min,late_sw,0.8889,4
wine,"[.7,.8)",maj,noflip,1.0000,6
wine,"[.7,.8)",min,noflip,1.0000,5
wine,"[.8,.9)",maj,noflip,1.0000,5
wine,"[.8,.9)",min,noflip,1.0000,4
wine,"[.9,1.]",maj,noflip,1.0000,6
wine,"[.9,1.]",min,noflip,1.0000,5
heart-disease,"[.5,.6)",maj,noflip,0.4497,3
heart-disease,"[.5,.6)",min,early_sw,0.4779,4
heart-disease,"[.6,.7)",maj,noflip,0.6251,3
heart-disease,"[.6,.7)",min,other,0.6353,4
heart-disease,"[.7,.8)",maj,oscillat,0.8847,3
heart-disease,"[.7,.8)",min,early_sw,0.7959,4
heart-disease,"[.8,.9)",maj,oscillat,0.8724,3
heart-disease,"[.8,.9)",min,early_sw,1.0000,4
heart-disease,"[.9,1.]",maj,recover,0.9839,3
heart-disease,"[.9,1.]",min,early_sw,1.0000,2
parkinsons,"[.5,.6)",maj,recover,0.3514,3
parkinsons,"[.5,.6)",min,oscillat,0.2662,4
parkinsons,"[.6,.7)",maj,oscillat,0.8926,3
parkinsons,"[.6,.7)",min,early_sw,1.0000,4
parkinsons,"[.7,.8)",maj,recover,0.8813,3
parkinsons,"[.7,.8)",min,early_sw,0.9086,4
parkinsons,"[.8,.9)",maj,oscillat,0.9725,3
parkinsons,"[.8,.9)",min,early_sw,1.0000,4
parkinsons,"[.9,1.]",maj,noflip,1.0000,3
parkinsons,"[.9,1.]",min,early_sw,1.0000,4
sonar,"[.5,.6)",maj,early_sw,0.2404,6
sonar,"[.5,.6)",min,early_sw,0.4886,6
sonar,"[.6,.7)",maj,early_sw,0.7871,6
sonar,"[.6,.7)",min,late_sw,0.9116,6
sonar,"[.7,.8)",maj,other,0.9793,6
sonar,"[.7,.8)",min,noflip,1.0000,6
sonar,"[.8,.9)",maj,noflip,1.0000,6
sonar,"[.8,.9)",min,noflip,1.0000,6
sonar,"[.9,1.]",maj,noflip,1.0000,5
sonar,"[.9,1.]",min,noflip,1.0000,5
heart-statlog,"[.5,.6)",maj,early_sw,0.5041,6
heart-statlog,"[.5,.6)",min,early_sw,0.4212,6
heart-statlog,"[.6,.7)",maj,early_sw,0.8087,4
heart-statlog,"[.6,.7)",min,early_sw,0.9554,5
heart-statlog,"[.7,.8)",maj,early_sw,0.8010,4
heart-statlog,"[.7,.8)",min,noflip,0.8432,6
heart-statlog,"[.8,.9)",maj,early_sw,0.9021,5
